tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0004972,movie,The Birth of a Nation,1915,195,"Drama,War",6.1,28372
tt0006864,movie,Intolerance,1916,210,"Drama,History",7.6,18046
tt0009968,movie,Broken Blossoms,1919,90,"Drama,Romance",7.2,11791
tt0010323,movie,The Cabinet of Dr. Caligari,1920,67,"Horror,Mystery,Thriller",8.0,76445
tt0012349,movie,The Kid,1921,68,"Comedy,Drama,Family",8.2,146100
tt0012364,movie,The Phantom Carriage,1921,107,"Drama,Fantasy,Horror",8.0,15849
tt0013257,movie,Häxan,1922,91,"Documentary,Fantasy,Horror",7.6,19340
tt0013427,movie,Nanook of the North,1922,78,Documentary,7.6,14453
tt0013442,movie,Nosferatu,1922,94,"Fantasy,Horror",7.8,123696
tt0014341,movie,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.7,13588
tt0014429,movie,Safety Last!,1923,74,"Action,Comedy,Romance",8.1,24938
tt0015064,movie,The Last Laugh,1924,90,Drama,8.0,16577
tt0015163,movie,The Navigator,1924,59,"Action,Adventure,Comedy",7.5,12096
tt0015324,movie,Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.1,66199
tt0015648,movie,Battleship Potemkin,1925,66,"Drama,History,Thriller",7.9,65323
tt0015864,movie,The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.1,128425
tt0015881,movie,Greed,1924,140,"Drama,Thriller,Western",8.0,11605
tt0016220,movie,The Phantom of the Opera,1925,93,"Horror,Music",7.5,22323
tt0016332,movie,Seven Chances,1925,56,"Comedy,Romance",7.8,13269
tt0016847,movie,Faust,1926,107,"Drama,Fantasy,Horror",8.1,18414
tt0017075,movie,The Lodger: A Story of the London Fog,1927,92,"Crime,Drama,Mystery",7.3,15135
tt0017136,movie,Metropolis,1927,150,"Drama,Sci-Fi",8.2,201819
tt0017925,movie,The General,1926,78,"Action,Adventure,Comedy",8.1,105340
tt0018037,movie,The Jazz Singer,1927,88,"Drama,Music,Musical",6.4,11960
tt0018455,movie,Sunrise,1927,94,"Drama,Romance",8.1,56824
tt0018528,movie,The Unknown,1927,68,"Drama,Horror,Romance",7.7,10318
tt0018578,movie,Wings,1927,144,"Action,Drama,Romance",7.5,16393
tt0018737,movie,Pandora's Box,1929,109,"Crime,Drama,Romance",7.7,12956
tt0018742,movie,The Cameraman,1928,76,"Comedy,Drama,Family",8.0,14620
tt0018773,movie,The Circus,1928,72,"Comedy,Family,Romance",8.1,38686
tt0018806,movie,The Crowd,1928,98,"Drama,Romance",8.0,10053
