tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue,saga_position
tt0004972,movie,The Birth of a Nation,1915,195,"Drama,War",6.1,28372,en,True,100000.0,11000000.0,1.0
tt0020629,movie,All Quiet on the Western Front,1930,152,"Drama,War",8.1,72260,en,True,1448864.0,3270000.0,1.0
tt0021814,movie,Dracula,1931,74,"Drama,Fantasy,Horror",7.3,64994,en,True,355000.0,700000.0,1.0
tt0021884,movie,Frankenstein,1931,70,"Drama,Horror,Sci-Fi",7.7,88142,en,True,291000.0,12000000.0,1.0
tt0023245,movie,The Mummy,1932,73,"Fantasy,Horror",6.9,33453,en,True,196000.0,1408.0,1.0
tt0023563,movie,The Testament of Dr. Mabuse,1933,122,"Crime,Mystery,Thriller",7.9,14638,de,True,0.0,27690.0,2.0
tt0024184,movie,The Invisible Man,1933,71,"Horror,Sci-Fi",7.6,44319,en,True,328000.0,27105.0,1.0
tt0024216,movie,King Kong,1933,100,"Adventure,Horror",7.9,96179,en,True,672000.0,10001781.0,1.0
tt0025878,movie,The Thin Man,1934,91,"Comedy,Crime,Mystery",7.9,35351,en,True,226408.0,1423000.0,1.0
tt0026138,movie,Bride of Frankenstein,1935,75,"Drama,Horror,Sci-Fi",7.8,59183,en,True,393750.0,2000000.0,2.0
tt0027260,movie,After the Thin Man,1936,112,"Comedy,Crime,Mystery",7.6,13213,en,True,673000.0,3165000.0,2.0
tt0031448,movie,The Hound of the Baskervilles,1939,80,"Crime,Mystery,Thriller",7.4,12982,en,True,0.0,0.0,1.0
tt0031951,movie,Son of Frankenstein,1939,99,"Drama,Horror,Sci-Fi",7.1,13478,en,True,420000.0,0.0,3.0
tt0032455,movie,Fantasia,1940,124,"Animation,Family,Fantasy",7.7,111626,en,True,2280000.0,76411819.0,1.0
tt0034398,movie,The Wolf Man,1941,70,"Horror,Mystery,Romance",7.2,34537,en,True,180000.0,0.0,1.0
tt0034492,movie,Bambi,1942,69,"Adventure,Animation,Drama",7.3,165826,en,True,858000.0,267447150.0,1.0
tt0034587,movie,Cat People,1942,73,"Fantasy,Horror,Thriller",7.2,28762,en,True,134000.0,4000000.0,1.0
tt0035093,movie,Mrs. Miniver,1942,134,"Drama,Romance,War",7.6,21390,en,True,1344000.0,13500000.0,1.0
tt0035899,movie,Frankenstein Meets the Wolf Man,1943,74,"Fantasy,Horror,Sci-Fi",6.4,11085,en,True,1200000.0,0.0,2.0
tt0036872,movie,Going My Way,1944,126,"Comedy,Drama,Music",7.0,14868,en,True,0.0,16300000.0,1.0
tt0037536,movie,The Bells of St. Mary's,1945,126,Drama,7.2,10602,en,True,0.0,21300000.0,2.0
tt0037824,movie,"Ivan the Terrible, Part I",1944,95,"Biography,Drama,History",7.6,11807,ru,True,0.0,0.0,1.0
tt0038166,movie,The Three Caballeros,1944,71,"Animation,Comedy,Family",6.3,17260,en,True,0.0,6710000.0,2.0
tt0041719,movie,Orpheus,1950,112,"Drama,Fantasy,Romance",7.8,14588,fr,True,0.0,0.0,2.0
tt0042286,movie,Broken Arrow,1950,93,"Drama,Romance,Western",7.1,10847,en,True,0.0,3600000.0,1.0
tt0042332,movie,Cinderella,1950,74,"Animation,Family,Fantasy",7.3,187986,en,True,2900000.0,263600000.0,1.0
tt0042451,movie,Father of the Bride,1950,92,"Comedy,Drama,Romance",7.1,13569,en,True,0.0,0.0,1.0
tt0043067,movie,Treasure Island,1950,96,"Adventure,Drama,Family",6.9,10820,en,True,0.0,4419657.0,1.0
tt0045920,movie,It Came from Outer Space,1953,81,"Horror,Sci-Fi",6.5,12893,en,True,800000.0,1600000.0,1.0
tt0046183,movie,Peter Pan,1953,77,"Adventure,Animation,Family",7.2,166288,en,True,4000000.0,87400000.0,1.0
tt0046247,movie,The Robe,1953,135,"Drama,History,Romance",6.7,12982,en,True,4350000.0,36000000.0,1.0
tt0046876,movie,Creature from the Black Lagoon,1954,79,"Horror,Sci-Fi",6.9,38551,en,True,0.0,1300000.0,1.0
tt0047034,movie,Godzilla,1954,96,"Horror,Sci-Fi",7.6,45654,ja,True,60000.0,2250000.0,1.0
tt0047444,movie,Samurai I: Musashi Miyamoto,1954,93,"Action,Adventure,Biography",7.4,10398,ja,True,0.0,0.0,1.0
tt0048280,movie,Lady and the Tramp,1955,76,"Adventure,Animation,Comedy",7.3,162559,en,True,4000000.0,36359037.0,1.0
tt0048380,movie,Mister Roberts,1955,123,"Comedy,Drama,War",7.6,19747,en,True,0.0,0.0,1.0
tt0048473,movie,Pather Panchali,1955,125,"Drama,History",8.2,41820,bn,True,0.0,536364.0,1.0
tt0048624,movie,Sissi,1955,102,"Comedy,Drama,History",7.0,11168,de,True,6000000.0,0.0,1.0
tt0048956,movie,Aparajito,1956,110,Drama,8.2,19804,bn,True,0.0,170215.0,2.0
tt0048977,movie,The Bad Seed,1956,129,"Drama,Horror,Thriller",7.4,17829,en,True,1000000.0,0.0,1.0
tt0050280,movie,The Curse of Frankenstein,1957,83,"Horror,Sci-Fi,Thriller",7.0,14879,en,True,270000.0,8000000.0,1.0
tt0050798,movie,Old Yeller,1957,83,"Adventure,Drama,Family",7.2,16764,en,True,21909000.0,0.0,1.0
tt0051337,movie,The 7th Voyage of Sinbad,1958,88,"Action,Adventure,Family",7.0,16400,en,True,650000.0,0.0,1.0
tt0051418,movie,The Blob,1958,86,"Horror,Sci-Fi",6.3,32375,en,True,110000.0,4000000.0,1.0
tt0051554,movie,Horror of Dracula,1958,82,"Drama,Horror",7.2,30020,en,True,104880.0,3500000.0,1.0
tt0051622,movie,The Fly,1958,94,"Drama,Horror,Sci-Fi",7.1,28052,en,True,700000.0,3000000.0,1.0
tt0052216,movie,Big Deal on Madonna Street,1958,106,"Comedy,Crime",7.9,12899,it,True,0.0,0.0,1.0
tt0052572,movie,The World of Apu,1959,105,Drama,8.4,20131,bn,True,0.0,134241.0,3.0
tt0053084,movie,The Mouse That Roared,1959,83,"Adventure,Comedy",6.9,10201,en,True,0.0,0.0,1.0
tt0053085,movie,The Mummy,1959,88,"Adventure,Horror",6.6,12795,en,True,0.0,0.0,1.0
tt0053114,movie,The Human Condition I: No Greater Love,1959,208,"Drama,History,War",8.5,11397,ja,True,0.0,0.0,1.0
tt0053198,movie,The 400 Blows,1959,99,"Crime,Drama",8.0,134913,fr,True,0.0,0.0,1.0
tt0053677,movie,The Brides of Dracula,1960,85,Horror,6.6,10147,en,True,0.0,0.0,2.0
tt0054047,movie,The Magnificent Seven,1960,128,"Action,Adventure,Drama",7.7,110861,en,True,2000000.0,19500000.0,1.0
tt0054215,movie,Psycho,1960,109,"Drama,Horror,Mystery",8.5,788241,en,True,806947.0,50000000.0,1.0
tt0054443,movie,Village of the Damned,1960,77,"Horror,Sci-Fi",7.3,21429,en,True,200000.0,2175000.0,1.0
tt0054594,movie,The Absent Minded Professor,1961,97,"Comedy,Family,Sci-Fi",6.7,10127,en,True,2000000.0,0.0,1.0
tt0054953,movie,The Guns of Navarone,1961,158,"Action,Adventure,Drama",7.5,59901,en,True,6000000.0,28900000.0,1.0
tt0054997,movie,The Hustler,1961,134,"Drama,Sport",7.9,90089,en,True,2000000.0,7600000.0,1.0
tt0055254,movie,One Hundred and One Dalmatians,1961,79,"Adventure,Animation,Comedy",7.3,197415,en,True,3600000.0,303000000.0,1.0
tt0055277,movie,The Parent Trap,1961,129,"Comedy,Family,Romance",7.2,26455,en,True,0.0,29650385.0,
tt0055630,movie,Yojimbo,1961,110,"Action,Drama,Thriller",8.2,143635,ja,True,0.0,0.0,1.0
tt0055928,movie,Dr. No,1962,110,"Action,Adventure,Thriller",7.2,196595,en,True,1000000.0,59000000.0,1.0
tt0056142,movie,King Kong vs. Godzilla,1963,91,"Action,Adventure,Comedy",5.7,12161,en,True,12000.0,2700000.0,3.0
tt0056443,movie,Sanjuro,1962,96,"Action,Drama,Thriller",8.0,43378,ja,True,0.0,0.0,2.0
tt0056869,movie,The Birds,1963,119,"Drama,Horror,Mystery",7.6,220878,en,True,2500000.0,11500000.0,1.0
