tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue
tt0004972,movie,The Birth of a Nation,1915,195,"Drama,War",6.1,28372,en,True,100000.0,11000000.0
tt0006864,movie,Intolerance,1916,210,"Drama,History",7.6,18046,en,False,385907.0,1750000.0
tt0009968,movie,Broken Blossoms,1919,90,"Drama,Romance",7.2,11791,en,False,0.0,2400000.0
tt0010323,movie,The Cabinet of Dr. Caligari,1920,67,"Horror,Mystery,Thriller",8.0,76445,de,False,18000.0,8811.0
tt0012349,movie,The Kid,1921,68,"Comedy,Drama,Family",8.2,146100,en,False,250000.0,5450000.0
tt0012364,movie,The Phantom Carriage,1921,107,"Drama,Fantasy,Horror",8.0,15849,sv,False,0.0,0.0
tt0013257,movie,Häxan,1922,91,"Documentary,Fantasy,Horror",7.6,19340,sv,False,220000.0,0.0
tt0013427,movie,Nanook of the North,1922,78,Documentary,7.6,14453,en,False,53000.0,0.0
tt0013442,movie,Nosferatu,1922,94,"Fantasy,Horror",7.8,123696,de,False,0.0,27964.0
tt0014341,movie,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.7,13588,en,False,0.0,0.0
tt0014429,movie,Safety Last!,1923,74,"Action,Comedy,Romance",8.1,24938,en,False,121000.0,1500000.0
tt0015064,movie,The Last Laugh,1924,90,Drama,8.0,16577,de,False,0.0,0.0
tt0015163,movie,The Navigator,1924,59,"Action,Adventure,Comedy",7.5,12096,en,False,0.0,0.0
tt0015324,movie,Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.1,66199,en,False,0.0,0.0
tt0015648,movie,Battleship Potemkin,1925,66,"Drama,History,Thriller",7.9,65323,ru,False,0.0,45100.0
tt0015864,movie,The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.1,128425,en,False,923000.0,4000000.0
tt0015881,movie,Greed,1924,140,"Drama,Thriller,Western",8.0,11605,en,False,665603.0,274827.0
tt0016220,movie,The Phantom of the Opera,1925,93,"Horror,Music",7.5,22323,en,False,0.0,2000000.0
tt0016332,movie,Seven Chances,1925,56,"Comedy,Romance",7.8,13269,en,False,0.0,0.0
tt0016847,movie,Faust,1926,107,"Drama,Fantasy,Horror",8.1,18414,de,False,0.0,0.0
tt0017075,movie,The Lodger: A Story of the London Fog,1927,92,"Crime,Drama,Mystery",7.3,15135,en,False,14670.0,83568.0
tt0017136,movie,Metropolis,1927,150,"Drama,Sci-Fi",8.2,201819,de,False,5300000.0,1350322.0
tt0017925,movie,The General,1926,78,"Action,Adventure,Comedy",8.1,105340,en,False,750000.0,1000000.0
tt0018037,movie,The Jazz Singer,1927,88,"Drama,Music,Musical",6.4,11960,en,False,422000.0,2600000.0
tt0018455,movie,Sunrise,1927,94,"Drama,Romance",8.1,56824,en,False,0.0,1636000.0
tt0018528,movie,The Unknown,1927,68,"Drama,Horror,Romance",7.7,10318,en,False,217000.0,847000.0
tt0018578,movie,Wings,1927,144,"Action,Drama,Romance",7.5,16393,en,False,2000000.0,3600000.0
tt0018737,movie,Pandora's Box,1929,109,"Crime,Drama,Romance",7.7,12956,de,False,0.0,885533.0
tt0018742,movie,The Cameraman,1928,76,"Comedy,Drama,Family",8.0,14620,en,False,0.0,0.0
tt0018773,movie,The Circus,1928,72,"Comedy,Family,Romance",8.1,38686,en,False,9000000.0,0.0
tt0018806,movie,The Crowd,1928,98,"Drama,Romance",8.0,10053,en,False,0.0,0.0
tt0019254,movie,The Passion of Joan of Arc,1928,114,"Biography,Drama,History",8.1,68578,fr,False,0.0,18121.0
tt0019421,movie,"Steamboat Bill, Jr.",1928,70,"Action,Comedy,Drama",7.8,17630,en,False,0.0,0.0
tt0019702,movie,Blackmail,1929,85,"Crime,Drama,Mystery",6.9,13599,en,False,0.0,0.0
tt0019760,movie,Man with a Movie Camera,1929,68,Documentary,8.3,30490,ru,False,0.0,0.0
tt0020629,movie,All Quiet on the Western Front,1930,152,"Drama,War",8.1,72260,en,True,1448864.0,3270000.0
tt0020640,movie,Animal Crackers,1930,97,"Comedy,Family,Musical",7.4,16205,en,False,0.0,0.0
tt0020697,movie,The Blue Angel,1930,104,"Drama,Music,Romance",7.6,17705,de,False,0.0,0.0
tt0021079,movie,Little Caesar,1931,79,"Action,Crime,Drama",7.1,16038,en,False,281000.0,752000.0
tt0021577,movie,L'Age d'Or,1930,63,"Comedy,Drama",7.2,15747,fr,False,0.0,7940.0
tt0021749,movie,City Lights,1931,87,"Comedy,Drama,Romance",8.5,216986,en,False,1500000.0,4250000.0
tt0021814,movie,Dracula,1931,74,"Drama,Fantasy,Horror",7.3,64994,en,True,355000.0,700000.0
tt0021884,movie,Frankenstein,1931,70,"Drama,Horror,Sci-Fi",7.7,88142,en,True,291000.0,12000000.0
tt0022100,movie,M,1931,99,"Crime,Mystery,Thriller",8.3,183288,de,False,0.0,35274.0
tt0022158,movie,Monkey Business,1931,77,"Comedy,Family,Musical",7.4,13753,en,False,0.0,0.0
tt0022286,movie,The Public Enemy,1931,83,"Crime,Drama",7.6,23596,en,False,151000.0,557000.0
tt0022835,movie,Dr. Jekyll and Mr. Hyde,1931,98,"Horror,Sci-Fi",7.6,17839,en,False,535000.0,1300000.0
tt0022913,movie,Freaks,1932,64,"Drama,Horror",7.8,54950,en,False,310607.0,0.0
tt0022958,movie,Grand Hotel,1932,112,"Drama,Romance",7.3,22776,en,False,0.0,0.0
tt0023027,movie,Horse Feathers,1932,68,"Comedy,Family,Musical",7.5,14175,en,False,0.0,0.0
tt0023042,movie,I Am a Fugitive from a Chain Gang,1932,92,"Crime,Drama,Film-Noir",8.2,15681,en,False,195845.0,0.0
tt0023238,movie,The Most Dangerous Game,1932,63,"Action,Adventure,Horror",7.0,15542,en,False,219869.0,443000.0
tt0023245,movie,The Mummy,1932,73,"Fantasy,Horror",6.9,33453,en,True,196000.0,1408.0
tt0023293,movie,The Old Dark House,1932,72,"Adventure,Comedy,Drama",7.0,14819,en,False,0.0,0.0
tt0023427,movie,Scarface,1932,93,"Action,Crime,Drama",7.7,33525,en,False,800000.0,600000.0
tt0023458,movie,Shanghai Express,1932,82,"Adventure,Drama,Film-Noir",7.3,11834,en,False,0.0,0.0
tt0023563,movie,The Testament of Dr. Mabuse,1933,122,"Crime,Mystery,Thriller",7.9,14638,de,True,0.0,27690.0
tt0023622,movie,Trouble in Paradise,1932,83,"Comedy,Crime,Romance",7.9,17560,en,False,0.0,0.0
tt0023649,movie,Vampyr,1932,75,"Fantasy,Horror",7.4,22921,de,False,0.0,19.0
tt0023694,movie,White Zombie,1932,69,Horror,6.2,12773,en,False,50000.0,0.0
tt0023969,movie,Duck Soup,1933,69,"Comedy,Musical",7.7,64161,en,False,0.0,0.0
tt0024034,movie,42nd Street,1933,89,"Comedy,Drama,Musical",7.3,13905,en,False,439000.0,2281000.0
tt0024069,movie,Gold Diggers of 1933,1933,97,"Comedy,Drama,Musical",7.7,10108,en,False,433000.0,3200000.0
tt0024184,movie,The Invisible Man,1933,71,"Horror,Sci-Fi",7.6,44319,en,True,328000.0,27105.0
tt0024188,movie,Island of Lost Souls,1932,70,"Horror,Sci-Fi",7.3,12324,en,False,300000.0,0.0
tt0024216,movie,King Kong,1933,100,"Adventure,Horror",7.9,96179,en,True,672000.0,10001781.0
tt0024601,movie,Sons of the Desert,1933,68,"Comedy,Family",7.5,10415,en,False,0.0,0.0
tt0024803,movie,Zero de Conduite,1933,47,Drama,7.2,10080,fr,False,0.0,0.0
tt0024844,movie,L'Atalante,1934,89,"Adventure,Drama,Romance",7.7,18710,fr,False,0.0,0.0
tt0024894,movie,The Black Cat,1934,65,"Crime,Horror,Romance",6.9,14485,en,False,95745.0,236000.0
tt0025316,movie,It Happened One Night,1934,105,"Comedy,Romance",8.1,120020,en,False,325000.0,4500000.0
tt0025452,movie,The Man Who Knew Too Much,1934,75,"Crime,Drama,Mystery",6.7,23584,en,False,180000.0,0.0
